YearsExperience,EducationLevel,JobDescription,Salary
18,Master,Project manager with Agile and Scrum expertise,75950
15,Master,Data scientist proficient in machine learning and Python,186118
7,Bachelor,Software engineer with experience in backend systems,159554
0,High School,Data scientist proficient in machine learning and Python,132339
15,Master,Data scientist proficient in machine learning and Python,143431
8,Bachelor,Graphic designer with Adobe Creative Suite proficiency,170710
12,PhD,Customer support representative with CRM experience,51173
10,Master,Project manager with Agile and Scrum expertise,174294
12,Bachelor,Financial analyst familiar with Excel and financial modeling,198082
20,Master,Full stack developer skilled in React and Node.js,48095
9,High School,Customer support representative with CRM experience,153554
3,High School,Project manager with Agile and Scrum expertise,162511
5,PhD,Marketing specialist with SEO and SEM experience,155614
6,Master,Data scientist proficient in machine learning and Python,166447
4,Bachelor,Marketing specialist with SEO and SEM experience,119023
10,PhD,Project manager with Agile and Scrum expertise,137181
12,Master,Customer support representative with CRM experience,50600
18,PhD,Financial analyst familiar with Excel and financial modeling,32466
9,Bachelor,Customer support representative with CRM experience,139934
9,PhD,Graphic designer with Adobe Creative Suite proficiency,83276
10,PhD,Financial analyst familiar with Excel and financial modeling,36928
20,PhD,Financial analyst familiar with Excel and financial modeling,85309
6,Master,Project manager with Agile and Scrum expertise,146196
17,Bachelor,Software engineer with experience in backend systems,39404
3,High School,Project manager with Agile and Scrum expertise,194711
1,Master,Data scientist proficient in machine learning and Python,143187
13,High School,Customer support representative with CRM experience,140449
12,High School,Financial analyst familiar with Excel and financial modeling,57684
11,Master,Project manager with Agile and Scrum expertise,98591
6,Master,Project manager with Agile and Scrum expertise,149821
1,Bachelor,Customer support representative with CRM experience,32682
12,Bachelor,Customer support representative with CRM experience,141186
13,PhD,Graphic designer with Adobe Creative Suite proficiency,199118
16,High School,Financial analyst familiar with Excel and financial modeling,51832
8,Bachelor,Full stack developer skilled in React and Node.js,46997
16,PhD,Graphic designer with Adobe Creative Suite proficiency,64640
7,Bachelor,Marketing specialist with SEO and SEM experience,70491
1,Master,Data scientist proficient in machine learning and Python,93043
12,Bachelor,Data scientist proficient in machine learning and Python,142175
2,High School,Full stack developer skilled in React and Node.js,158568
15,Bachelor,Software engineer with experience in backend systems,144250
5,High School,Graphic designer with Adobe Creative Suite proficiency,102725
18,Master,Full stack developer skilled in React and Node.js,158131
6,High School,Software engineer with experience in backend systems,75520
9,Bachelor,Software engineer with experience in backend systems,92919
8,PhD,Full stack developer skilled in React and Node.js,139869
1,Master,Data scientist proficient in machine learning and Python,94442
14,Bachelor,Marketing specialist with SEO and SEM experience,182842
4,Master,Data scientist proficient in machine learning and Python,135246
3,Master,Project manager with Agile and Scrum expertise,139687
19,Bachelor,Data scientist proficient in machine learning and Python,153447
3,Bachelor,Data scientist proficient in machine learning and Python,91477
17,PhD,Graphic designer with Adobe Creative Suite proficiency,30244
3,Master,Full stack developer skilled in React and Node.js,193860
16,Master,Full stack developer skilled in React and Node.js,109453
11,Bachelor,Project manager with Agile and Scrum expertise,157962
16,High School,Project manager with Agile and Scrum expertise,101303
9,Bachelor,Graphic designer with Adobe Creative Suite proficiency,58390
0,Master,Full stack developer skilled in React and Node.js,40247
17,Bachelor,Data scientist proficient in machine learning and Python,195750
17,PhD,Marketing specialist with SEO and SEM experience,59583
13,High School,Software engineer with experience in backend systems,169148
14,Bachelor,Customer support representative with CRM experience,179078
11,PhD,Software engineer with experience in backend systems,176123
3,Master,Project manager with Agile and Scrum expertise,165386
2,Bachelor,Project manager with Agile and Scrum expertise,58670
19,Master,Software engineer with experience in backend systems,154920
11,PhD,Customer support representative with CRM experience,40236
6,Master,Data scientist proficient in machine learning and Python,65568
10,PhD,Marketing specialist with SEO and SEM experience,137327
0,PhD,Marketing specialist with SEO and SEM experience,140188
5,PhD,Software engineer with experience in backend systems,46352
14,Bachelor,Customer support representative with CRM experience,155721
14,Master,Graphic designer with Adobe Creative Suite proficiency,171418
18,Master,Project manager with Agile and Scrum expertise,186228
10,High School,Financial analyst familiar with Excel and financial modeling,85904
1,High School,Data scientist proficient in machine learning and Python,175107
13,High School,Graphic designer with Adobe Creative Suite proficiency,152141
1,High School,Software engineer with experience in backend systems,46108
3,Master,Marketing specialist with SEO and SEM experience,32853
16,PhD,Project manager with Agile and Scrum expertise,114156
2,PhD,Graphic designer with Adobe Creative Suite proficiency,34176
12,Bachelor,Graphic designer with Adobe Creative Suite proficiency,130459
8,PhD,Full stack developer skilled in React and Node.js,186992
6,Master,Full stack developer skilled in React and Node.js,167901
14,Master,Customer support representative with CRM experience,153225
10,Master,Customer support representative with CRM experience,148458
19,Bachelor,Software engineer with experience in backend systems,140893
1,High School,Graphic designer with Adobe Creative Suite proficiency,103927
14,PhD,Financial analyst familiar with Excel and financial modeling,148178
13,Master,Marketing specialist with SEO and SEM experience,70667
19,Master,Software engineer with experience in backend systems,196915
10,High School,Financial analyst familiar with Excel and financial modeling,191615
2,Master,Project manager with Agile and Scrum expertise,36611
16,PhD,Customer support representative with CRM experience,118242
11,Bachelor,Full stack developer skilled in React and Node.js,114612
20,Master,Data scientist proficient in machine learning and Python,76902
14,PhD,Graphic designer with Adobe Creative Suite proficiency,63043
15,Master,Project manager with Agile and Scrum expertise,166343
4,High School,Full stack developer skilled in React and Node.js,102867
19,Master,Marketing specialist with SEO and SEM experience,107089
5,Master,Marketing specialist with SEO and SEM experience,88745
18,Bachelor,Full stack developer skilled in React and Node.js,172645
4,High School,Project manager with Agile and Scrum expertise,182481
2,High School,Full stack developer skilled in React and Node.js,115970
0,Bachelor,Financial analyst familiar with Excel and financial modeling,54464
5,Master,Software engineer with experience in backend systems,148523
14,PhD,Customer support representative with CRM experience,50662
1,High School,Financial analyst familiar with Excel and financial modeling,48228
